MOTOR 1,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
,0.4401686,-1.094716,-0.859622,10.505688,10.597492,7.547147,218.140625
,0.4423158,-0.309871,-0.692124,10.85504,10.881495,3.996157,245.881485
,0.444463,-0.687936,-0.515055,10.883754,10.917629,4.514708,216.822037
,0.4466101,-1.056431,-0.73998,9.730413,9.815527,7.550838,215.009445
,0.4487573,0.06341,-1.319044,9.902697,9.99036,7.595821,272.752228
,0.4509045,-0.764507,-0.706481,9.830912,9.885869,6.044291,222.741028
,0.4530516,-0.582652,-1.682752,9.543773,9.708488,10.569242,250.901611
,0.4551988,-0.161516,-2.204388,9.48156,9.735779,13.122179,265.809418
,0.457346,-0.506082,-1.941177,9.476774,9.686771,11.95205,255.387756
,0.4594931,-0.486939,-2.635096,9.223135,9.604533,16.200804,259.530426
,0.4616403,-0.386441,-2.510669,8.543573,8.913218,16.558647,261.249725
,0.4637874,-0.472582,-2.304886,8.376076,8.700257,15.690019,258.412933
,0.4659346,0.068195,-2.855236,8.577073,9.040089,18.417063,271.368225
,0.4680817,-0.534796,-2.424528,8.768498,9.113227,15.809519,257.561035
,0.4702289,-0.67358,-2.414956,8.955139,9.299476,15.640452,254.415146
,0.4723761,-0.549153,-2.290529,9.936196,10.211567,13.336161,256.517853
,0.4745233,-0.544367,-2.266601,9.658628,9.935941,13.56853,256.495117
,0.4766704,-0.821935,-1.649253,9.433703,9.611991,11.052608,243.509811
,0.4788176,-0.745364,-1.66361,9.428918,9.603523,10.942368,245.865692
,0.4809648,-0.721436,-1.668396,9.615558,9.785855,10.704692,246.615723
,0.4831119,-0.238086,-1.563111,10.319048,10.439481,8.711427,261.339539
,0.4852591,-0.702293,-1.161117,10.888539,10.972771,7.103875,238.832657
,0.4874062,-0.740579,-0.572483,10.395618,10.437675,5.145175,217.704773
,0.4895534,-0.597009,-0.448056,10.161121,10.188501,4.201417,216.88826
,0.4917006,-0.443869,-0.797408,10.30469,10.345024,5.061131,240.89798
,0.4938477,-0.731007,-0.534198,10.309476,10.349156,5.018954,216.158188
,0.4959949,-0.515653,-0.328415,10.342976,10.361028,3.382693,212.492691
,0.4981421,-0.45344,-0.424128,10.520044,10.53835,3.377596,223.086945
,0.5002892,-0.491725,-1.079761,10.103694,10.173117,6.697439,245.515396
,0.5024364,-0.400798,-1.271187,9.730413,9.821279,7.799887,252.500244
,0.5045836,-0.415155,-1.199402,9.725628,9.808096,7.435217,250.907486
,0.5067307,-0.357727,-1.797608,9.59163,9.76518,10.818199,258.745087
,0.5088779,-0.252443,-1.697109,9.6682,9.819266,10.063313,261.539368
,0.5110251,-0.778864,-1.807179,9.208778,9.416694,12.062415,246.684769
,0.5131722,-0.592224,-1.788037,9.534202,9.718477,11.175349,251.674377
